"TEHINGU_ID";"KUUPÄEV";"SAAJA_MAKSJA_KONTO";"SAAJA_MAKSJA_NIMI";"SUMMA";"VIITENUMBER";"SELGITUS";"VALUUTA"
"100000000000035";"01.01.2024";"";"Swedbank AS";"1.45";"";"Igapäevane pakett - kuutasu";"EUR"
"100000000000043";"01.01.2024";"";"Swedbank AS";"0.50";"";"Kaardi hooldustasu";"EUR"
"100000000000429";"01.01.2024";"";"OLEREX TARTU VEERIKU";"61.14";"";"01/01/2024 08:04 kaart....700424 OLEREX VEERIKU/TARTU/EE #639131";"EUR"
"100000000000456";"01.01.2024";"";"R-KIOSK 4828 TARTU NES";"4.40";"";"01/01/2024 14:50 kaart....700424 R-KIOSK 4828 TARTU NES/TARTU/EE #595948";"EUR"
"100000000001918";"01.01.2024";"EE9122947568281237770";"Kristjan Pärn";"72.21";"";"Laen tagasi";"EUR"
"100000000000503";"02.01.2024";"";"RIMI TARTU LOUNAKESKUS";"36.81";"";"02/01/2024 17:03 kaart....700424 RIMI LOUNAKESKUS/TARTU/EE #522179";"EUR"
"100000000000533";"03.01.2024";"";"R-KIOSK 4828 TARTU NES";"2.77";"";"03/01/2024 15:11 kaart....700424 R-KIOSK 4828 TARTU NES/TARTU/EE #392075";"EUR"
"100000000000568";"04.01.2024";"";"Amazon.de";"119.10";"";"04/01/2024 03:03 kaart....700424 Amazon.de/Berlin/DE #783823";"EUR"
"100000000001923";"04.01.2024";"EE4210228451638752724";"Mart Tamm";"50.00";"";"Lõunasöök";"EUR"
"100000000000572";"05.01.2024";"";"KAMIN JA KERIS OÜ";"161.65";"";"05/01/2024 15:13 kaart....700424 KAMIN JA KERIS/TARTU/EE #520521";"EUR"
"100000000000617";"06.01.2024";"";"CAFE TRUFFE TARTU";"15.57";"";"06/01/2024 15:18 kaart....700424 CAFE TRUFFE/TARTU/EE #543555";"EUR"
"100000000000631";"06.01.2024";"";"KAMIN JA KERIS OÜ";"115.66";"";"06/01/2024 12:12 kaart....700424 KAMIN JA KERIS/TARTU/EE #411120";"EUR"
"100000000000637";"07.01.2024";"";"PARKLAHALDUSE OU";"6.66";"";"07/01/2024 08:03 kaart....700424 PARKLAHALDUSE OU/TARTU/EE #632496";"EUR"
"100000000000653";"07.01.2024";"";"Amazon.de";"17.71";"";"07/01/2024 12:07 kaart....700424 Amazon.de/Berlin/DE #697347";"EUR"
"100000000000187";"08.01.2024";"EE062200221034567811";"KÜ Veeriku 14";"192.06";"835030564139";"Korteriühistu kulud 01/2024";"EUR"
"100000000000288";"08.01.2024";"EE862200221015412304";"IF P&C Insurance AS";"35.00";"1845146270";"Kindlustusmakse 01/2024 poliis IFKA82512";"EUR"
"100000000000353";"08.01.2024";"EE021010052087654321";"Starman TV pakett";"12.00";"89325288095";"TV ja internet 01/2024";"EUR"
"100000000000674";"08.01.2024";"";"ALEXELA TARTU";"54.99";"";"08/01/2024 10:42 kaart....700424 ALEXELA/TARTU/EE #850981";"EUR"
"100000000000723";"08.01.2024";"";"R-KIOSK 4828 TARTU NES";"3.77";"";"08/01/2024 14:29 kaart....700424 R-KIOSK 4828 TARTU NES/TARTU/EE #431535";"EUR"
"100000000000728";"09.01.2024";"";"RIMI TARTU LOUNAKESKUS";"54.49";"";"09/01/2024 18:08 kaart....700424 RIMI LOUNAKESKUS/TARTU/EE #465962";"EUR"
"100000000001886";"09.01.2024";"EE3977302032516608930";"Anneli Vaher";"151.21";"";"Kontsert";"EUR"
"100000000000093";"10.01.2024";"EE172200221013264589";"Swedbank AS";"85.79";"95931034131";"Lep. 2022770487/põhiosa/L192867825";"EUR"
"100000000000111";"10.01.2024";"EE172200221013264589";"Swedbank AS";"81.04";"95931034131";"Lep. 2022770487/intress/L192867825";"EUR"
"100000000000762";"10.01.2024";"";"WERNER KOHVIK TARTU";"16.04";"";"10/01/2024 17:51 kaart....700424 WERNER KOHVIK/TARTU/EE #785743";"EUR"
"100000000000769";"10.01.2024";"";"COOP TARTU RAATUSE";"17.09";"";"10/01/2024 10:16 kaart....700424 COOP RAATUSE/TARTU/EE #221035";"EUR"
"100000000000773";"11.01.2024";"";"BURGER KING TARTU";"16.67";"";"11/01/2024 19:16 kaart....700424 BURGER KING/TARTU/EE #987204";"EUR"
"100000000000802";"11.01.2024";"";"PRISMA TARTU";"32.55";"";"11/01/2024 18:10 kaart....700424 PRISMA TARTU/TARTU/EE #877236";"EUR"
"100000000000812";"12.01.2024";"";"OLEREX TARTU VEERIKU";"78.35";"";"12/01/2024 08:37 kaart....700424 OLEREX VEERIKU/TARTU/EE #679364";"EUR"
"100000000000826";"12.01.2024";"";"COOP TARTU KESKLINN";"61.17";"";"12/01/2024 08:57 kaart....700424 COOP TARTU KESKLINN/TARTU/EE #475190";"EUR"
"100000000000842";"12.01.2024";"";"TARTU BOWLING";"24.17";"";"12/01/2024 22:47 kaart....700424 TARTU BOWLING/TARTU/EE #262060";"EUR"
"100000000000864";"12.01.2024";"";"ETSY.COM";"53.80";"";"12/01/2024 00:11 kaart....700424 ETSY.COM/Brooklyn/US #872343";"EUR"
"100000000000895";"13.01.2024";"";"TIGER TARTU";"18.61";"";"13/01/2024 15:55 kaart....700424 TIGER/TARTU/EE #140605";"EUR"
"100000000000908";"13.01.2024";"";"CHOPSTICKS TARTU";"15.72";"";"13/01/2024 12:01 kaart....700424 CHOPSTICKS/TARTU/EE #792094";"EUR"
"100000000000934";"13.01.2024";"";"CREPP TARTU";"9.70";"";"13/01/2024 13:41 kaart....700424 CREPP/TARTU/EE #634150";"EUR"
"100000000000937";"13.01.2024";"";"AHHAA TEADUSKESKUS";"21.01";"";"13/01/2024 20:37 kaart....700424 AHHAA/TARTU/EE #378361";"EUR"
"100000000000950";"14.01.2024";"";"CIRCLE K TARTU LOUNAKE";"65.31";"";"14/01/2024 08:24 kaart....700424 CIRCLE K LOUNAKE/TARTU/EE #704596";"EUR"
"100000000000993";"14.01.2024";"";"R-KIOSK 4828 TARTU NES";"5.96";"";"14/01/2024 15:27 kaart....700424 R-KIOSK 4828 TARTU NES/TARTU/EE #173372";"EUR"
"100000000000068";"15.01.2024";"";"Swedbank AS";"12.00";"";"Deebetkaardi aastamaks";"EUR"
"100000000000141";"15.01.2024";"EE021010052037412007";"Telia Eesti AS";"28.00";"25534192832";"Telia e-arve 01/2024 (mobiil+internet)";"EUR"
"100000000000413";"15.01.2024";"EE891010220034159023";"Transpordiamet";"99.91";"6578713315";"Automaks";"EUR"
"100000000001020";"15.01.2024";"";"TARTU LINNATRANSPORT";"4.62";"";"15/01/2024 15:19 kaart....700424 TARTU LINNATRANSPORT/TARTU/EE #799287";"EUR"
"100000000001040";"15.01.2024";"";"KFC TARTU LOUNAKESKUS";"15.77";"";"15/01/2024 18:39 kaart....700424 KFC LOUNAKESKUS/TARTU/EE #696750";"EUR"
